"","X","siteID","verticalPosition","year","month","date","time","tempSingleMean","X.1","siteID.1","verticalPosition.1","year.1","month.1","date.1","time.1","tempSingleMean.1","tair_diff_8am","tair_diff_1pm","tair_diff_7pm","X.2","siteID.2","verticalPosition.2","year.2","month.2","date.2","time.2","PARMean","X.1.1","siteID.1.1","verticalPosition.1.1","year.1.1","month.1.1","date.1.1","time.1.1","PARMean.1","par_diff_8am","par_diff_1pm","par_diff_7pm"
"1",1489,"HARV",10,"2015","-07","-01"," 00:00:00",NA,72913,"HARV",50,"2015","-07","-01"," 00:00:00",NA,NA,NA,NA,1489,"HARV",10,"2015","-07","-01"," 00:00:00",0.7,72913,"HARV",50,"2015","-07","-01"," 00:00:00",21.96,0,78.69,1058.61
"2",1490,"HARV",10,"2015","-07","-01"," 00:30:00",NA,72914,"HARV",50,"2015","-07","-01"," 00:30:00",NA,NA,NA,NA,1490,"HARV",10,"2015","-07","-01"," 00:30:00",0.3,72914,"HARV",50,"2015","-07","-01"," 00:30:00",1.81,0.00999999999999998,874.38,689.47
"3",1491,"HARV",10,"2015","-07","-01"," 01:00:00",NA,72915,"HARV",50,"2015","-07","-01"," 01:00:00",NA,NA,NA,NA,1491,"HARV",10,"2015","-07","-01"," 01:00:00",0.23,72915,"HARV",50,"2015","-07","-01"," 01:00:00",0.22,0,1198.75,1466.06
"4",1492,"HARV",10,"2015","-07","-01"," 01:30:00",NA,72916,"HARV",50,"2015","-07","-01"," 01:30:00",NA,NA,NA,NA,1492,"HARV",10,"2015","-07","-01"," 01:30:00",0.23,72916,"HARV",50,"2015","-07","-01"," 01:30:00",0.22,-0.02,362.46,309.49
"5",1493,"HARV",10,"2015","-07","-01"," 02:00:00",NA,72917,"HARV",50,"2015","-07","-01"," 02:00:00",NA,NA,NA,NA,1493,"HARV",10,"2015","-07","-01"," 02:00:00",0.22,72917,"HARV",50,"2015","-07","-01"," 02:00:00",0.21,-0.02,1075.26,703.44
"6",1494,"HARV",10,"2015","-07","-01"," 02:30:00",NA,72918,"HARV",50,"2015","-07","-01"," 02:30:00",NA,NA,NA,NA,1494,"HARV",10,"2015","-07","-01"," 02:30:00",0.23,72918,"HARV",50,"2015","-07","-01"," 02:30:00",0.22,-0.02,1011.47,1369.65
"7",1495,"HARV",10,"2015","-07","-01"," 03:00:00",NA,72919,"HARV",50,"2015","-07","-01"," 03:00:00",NA,NA,NA,NA,1495,"HARV",10,"2015","-07","-01"," 03:00:00",0.23,72919,"HARV",50,"2015","-07","-01"," 03:00:00",0.22,-0.01,257.44,938.97
"8",1496,"HARV",10,"2015","-07","-01"," 03:30:00",NA,72920,"HARV",50,"2015","-07","-01"," 03:30:00",NA,NA,NA,NA,1496,"HARV",10,"2015","-07","-01"," 03:30:00",0.22,72920,"HARV",50,"2015","-07","-01"," 03:30:00",0.2,-0.21,518.96,1302.36
"9",1497,"HARV",10,"2015","-07","-01"," 04:00:00",NA,72921,"HARV",50,"2015","-07","-01"," 04:00:00",NA,NA,NA,NA,1497,"HARV",10,"2015","-07","-01"," 04:00:00",0.21,72921,"HARV",50,"2015","-07","-01"," 04:00:00",0.21,0,663.03,1134.54
"10",1498,"HARV",10,"2015","-07","-01"," 04:30:00",NA,72922,"HARV",50,"2015","-07","-01"," 04:30:00",NA,NA,NA,NA,1498,"HARV",10,"2015","-07","-01"," 04:30:00",0.22,72922,"HARV",50,"2015","-07","-01"," 04:30:00",0.22,-0.01,1010.45,1383.32
"11",1499,"HARV",10,"2015","-07","-01"," 05:00:00",NA,72923,"HARV",50,"2015","-07","-01"," 05:00:00",NA,NA,NA,NA,1499,"HARV",10,"2015","-07","-01"," 05:00:00",0.21,72923,"HARV",50,"2015","-07","-01"," 05:00:00",0.21,-0.02,1151,1204.77
"12",1500,"HARV",10,"2015","-07","-01"," 05:30:00",NA,72924,"HARV",50,"2015","-07","-01"," 05:30:00",17.2705,NA,NA,NA,1500,"HARV",10,"2015","-07","-01"," 05:30:00",0.21,72924,"HARV",50,"2015","-07","-01"," 05:30:00",0.22,-0.01,979.27,1317.49
"13",1501,"HARV",10,"2015","-07","-01"," 06:00:00",NA,72925,"HARV",50,"2015","-07","-01"," 06:00:00",NA,NA,NA,NA,1501,"HARV",10,"2015","-07","-01"," 06:00:00",0.22,72925,"HARV",50,"2015","-07","-01"," 06:00:00",0.21,-0.03,898.87,1080.86
"14",1502,"HARV",10,"2015","-07","-01"," 06:30:00",NA,72926,"HARV",50,"2015","-07","-01"," 06:30:00",NA,NA,NA,NA,1502,"HARV",10,"2015","-07","-01"," 06:30:00",0.21,72926,"HARV",50,"2015","-07","-01"," 06:30:00",0.21,-0.02,741.2,431.41
"15",1503,"HARV",10,"2015","-07","-01"," 07:00:00",NA,72927,"HARV",50,"2015","-07","-01"," 07:00:00",NA,NA,NA,NA,1503,"HARV",10,"2015","-07","-01"," 07:00:00",0.22,72927,"HARV",50,"2015","-07","-01"," 07:00:00",0.21,-0.03,1053.21,1304.85
"16",1504,"HARV",10,"2015","-07","-01"," 07:30:00",NA,72928,"HARV",50,"2015","-07","-01"," 07:30:00",NA,NA,NA,NA,1504,"HARV",10,"2015","-07","-01"," 07:30:00",0.22,72928,"HARV",50,"2015","-07","-01"," 07:30:00",0.21,-0.00999999999999998,1153.44,1473.07
"17",1505,"HARV",10,"2015","-07","-01"," 08:00:00",NA,72929,"HARV",50,"2015","-07","-01"," 08:00:00",NA,NA,NA,NA,1505,"HARV",10,"2015","-07","-01"," 08:00:00",0.21,72929,"HARV",50,"2015","-07","-01"," 08:00:00",0.21,0,1089.86,1408.72
"18",1506,"HARV",10,"2015","-07","-01"," 08:30:00",NA,72930,"HARV",50,"2015","-07","-01"," 08:30:00",NA,NA,NA,NA,1506,"HARV",10,"2015","-07","-01"," 08:30:00",0.22,72930,"HARV",50,"2015","-07","-01"," 08:30:00",0.25,-0.00999999999999998,162.44,325.45
"19",1507,"HARV",10,"2015","-07","-01"," 09:00:00",NA,72931,"HARV",50,"2015","-07","-01"," 09:00:00",NA,NA,NA,NA,1507,"HARV",10,"2015","-07","-01"," 09:00:00",0.25,72931,"HARV",50,"2015","-07","-01"," 09:00:00",1.55,-0.02,431.82,1052.15
"20",1508,"HARV",10,"2015","-07","-01"," 09:30:00",NA,72932,"HARV",50,"2015","-07","-01"," 09:30:00",NA,NA,NA,NA,1508,"HARV",10,"2015","-07","-01"," 09:30:00",0.36,72932,"HARV",50,"2015","-07","-01"," 09:30:00",6.58,-0.05,1118.99,1342.83
"21",1509,"HARV",10,"2015","-07","-01"," 10:00:00",NA,72933,"HARV",50,"2015","-07","-01"," 10:00:00",NA,NA,NA,NA,1509,"HARV",10,"2015","-07","-01"," 10:00:00",0.48,72933,"HARV",50,"2015","-07","-01"," 10:00:00",11.45,-0.03,444.67,1315.21
"22",1510,"HARV",10,"2015","-07","-01"," 10:30:00",NA,72934,"HARV",50,"2015","-07","-01"," 10:30:00",NA,NA,NA,NA,1510,"HARV",10,"2015","-07","-01"," 10:30:00",0.39,72934,"HARV",50,"2015","-07","-01"," 10:30:00",6.7,0.01,1143.04,1109.91
"23",1511,"HARV",10,"2015","-07","-01"," 11:00:00",NA,72935,"HARV",50,"2015","-07","-01"," 11:00:00",NA,NA,NA,NA,1511,"HARV",10,"2015","-07","-01"," 11:00:00",0.47,72935,"HARV",50,"2015","-07","-01"," 11:00:00",9.51,0,1152.24,858.15
"24",1512,"HARV",10,"2015","-07","-01"," 11:30:00",NA,72936,"HARV",50,"2015","-07","-01"," 11:30:00",NA,NA,NA,NA,1512,"HARV",10,"2015","-07","-01"," 11:30:00",0.55,72936,"HARV",50,"2015","-07","-01"," 11:30:00",11.03,0.01,1164.32,471.74
"25",1513,"HARV",10,"2015","-07","-01"," 12:00:00",NA,72937,"HARV",50,"2015","-07","-01"," 12:00:00",NA,NA,NA,NA,1513,"HARV",10,"2015","-07","-01"," 12:00:00",1.99,72937,"HARV",50,"2015","-07","-01"," 12:00:00",57.29,0.02,784.27,1185.33
"26",1514,"HARV",10,"2015","-07","-01"," 12:30:00",NA,72938,"HARV",50,"2015","-07","-01"," 12:30:00",NA,NA,NA,NA,1514,"HARV",10,"2015","-07","-01"," 12:30:00",3.38,72938,"HARV",50,"2015","-07","-01"," 12:30:00",102.84,-0.01,254.3,1026.29
"27",1515,"HARV",10,"2015","-07","-01"," 13:00:00",NA,72939,"HARV",50,"2015","-07","-01"," 13:00:00",NA,NA,NA,NA,1515,"HARV",10,"2015","-07","-01"," 13:00:00",2.71,72939,"HARV",50,"2015","-07","-01"," 13:00:00",81.4,0.01,938.02,147.02
"28",1516,"HARV",10,"2015","-07","-01"," 13:30:00",NA,72940,"HARV",50,"2015","-07","-01"," 13:30:00",NA,NA,NA,NA,1516,"HARV",10,"2015","-07","-01"," 13:30:00",3.29,72940,"HARV",50,"2015","-07","-01"," 13:30:00",96.7,0.01,1022.5,1302.96
"29",1517,"HARV",10,"2015","-07","-01"," 14:00:00",NA,72941,"HARV",50,"2015","-07","-01"," 14:00:00",NA,NA,NA,NA,1517,"HARV",10,"2015","-07","-01"," 14:00:00",5.23,72941,"HARV",50,"2015","-07","-01"," 14:00:00",161.83,0,1091.36,1045.63
"30",1518,"HARV",10,"2015","-07","-01"," 14:30:00",NA,72942,"HARV",50,"2015","-07","-01"," 14:30:00",NA,NA,NA,NA,1518,"HARV",10,"2015","-07","-01"," 14:30:00",6.1,72942,"HARV",50,"2015","-07","-01"," 14:30:00",189.34,0.02,752.3,371.75
"31",1519,"HARV",10,"2015","-07","-01"," 15:00:00",NA,72943,"HARV",50,"2015","-07","-01"," 15:00:00",NA,NA,NA,NA,1519,"HARV",10,"2015","-07","-01"," 15:00:00",5.9,72943,"HARV",50,"2015","-07","-01"," 15:00:00",179.5,0.01,1110.86,1295.3
"32",1520,"HARV",10,"2015","-07","-01"," 15:30:00",NA,72944,"HARV",50,"2015","-07","-01"," 15:30:00",NA,NA,NA,NA,1520,"HARV",10,"2015","-07","-01"," 15:30:00",11.85,72944,"HARV",50,"2015","-07","-01"," 15:30:00",373.49,0.38,1117.87,412.25
"33",1521,"HARV",10,"2015","-07","-01"," 16:00:00",NA,72945,"HARV",50,"2015","-07","-01"," 16:00:00",NA,NA,NA,NA,1521,"HARV",10,"2015","-07","-01"," 16:00:00",16.16,72945,"HARV",50,"2015","-07","-01"," 16:00:00",538.96,0.35,828.84,1183.03
"34",1522,"HARV",10,"2015","-07","-01"," 16:30:00",NA,72946,"HARV",50,"2015","-07","-01"," 16:30:00",NA,NA,NA,NA,1522,"HARV",10,"2015","-07","-01"," 16:30:00",24.79,72946,"HARV",50,"2015","-07","-01"," 16:30:00",906.31,0.36,1205.02,1687.12
"35",1523,"HARV",10,"2015","-07","-01"," 17:00:00",NA,72947,"HARV",50,"2015","-07","-01"," 17:00:00",NA,NA,NA,NA,1523,"HARV",10,"2015","-07","-01"," 17:00:00",22.32,72947,"HARV",50,"2015","-07","-01"," 17:00:00",935.45,0.37,1205.83,1616.25
