domain,site,nlcdClass,areakm2,applicableModule,,,,,,,, 
1,BART,deciduousForest,5.5017,bet|bgc|brd|cdw|dhp|div|hbp|sme|tck|vst,,,,,,,,
1,BART,deciduousForest,3.708,mam,,,,,,,,
1,BART,deciduousForest,0.6444,mos,,,,,,,,
1,BART,evergreenForest,1.8621,bet|bgc|brd|cdw|dhp|div|hbp|sme|tck|vst,,,,,,,,
1,BART,evergreenForest,0.8478,mam,,,,,,,,
1,BART,evergreenForest,0.0693,mos,,,,,,,,
1,BART,mixedForest,7.8399,bet|bgc|brd|cdw|dhp|div|hbp|sme|tck|vst,,,,,,,,
1,BART,mixedForest,4.7682,mam,,,,,,,,
1,BART,mixedForest,0.5598,mos,,,,,,,,
1,HARV,deciduousForest,16.1604,bet|bgc|brd|cdw|dhp|div|hbp|sme|tck|vst,,,,,,,,
1,HARV,deciduousForest,10.2096,mam,,,,,,,,
1,HARV,deciduousForest,1.9368,mos,,,,,,,,
1,HARV,evergreenForest,11.1168,bet|bgc|brd|cdw|dhp|div|hbp|sme|tck|vst,,,,,,,,
1,HARV,evergreenForest,8.7201,mam,,,,,,,,
1,HARV,evergreenForest,2.1681,mos,,,,,,,,
1,HARV,mixedForest,7.1172,bet|bgc|brd|cdw|dhp|div|hbp|sme|tck|vst,,,,,,,,
1,HARV,mixedForest,5.4135,mam,,,,,,,,
1,HARV,mixedForest,1.2771,mos,,,,,,,,
1,HARV,woodyWetlands,2.2284,bet|bgc|brd|cdw|dhp|div|hbp|sme|tck|vst,,,,,,,,
1,HARV,woodyWetlands,1.7073,mam,,,,,,,,
1,HARV,woodyWetlands,0.2763,mos,,,,,,,,
2,BLAN,deciduousForest,1.5462,bet|bgc|brd|cdw|dhp|div|hbp|sme|tck|vst,,,,,,,,
2,BLAN,deciduousForest,0.4698,mam,,,,,,,,
2,BLAN,deciduousForest,0.0504,mos,,,,,,,,
2,BLAN,pastureHay,1.2276,bet|bgc|brd|cdw|dhp|div|hbp|sme|tck|vst,,,,,,,,
2,BLAN,pastureHay,0.8604,mam,,,,,,,,
2,BLAN,pastureHay,0.2034,mos,,,,,,,,
2,SCBI,deciduousForest,7.3926,bet|bgc|brd|cdw|dhp|div|hbp|sme|tck|vst,,,,,,,,
2,SCBI,deciduousForest,6.8769,mam,,,,,,,,
2,SCBI,deciduousForest,1.5408,mos,,,,,,,,
